bias,positive,negative,sentiment
1.0,3015.0,55.0,1.0
1.0,3063.0,124.0,1.0
1.0,3231.0,181.0,1.0
1.0,444.0,135.0,1.0
1.0,1184.0,597.0,1.0
1.0,2851.0,3.0,1.0
1.0,346.0,265.0,1.0
1.0,1087.0,498.0,1.0
1.0,3429.0,343.0,1.0
1.0,2952.0,102.0,1.0
1.0,2865.0,19.0,1.0
1.0,1002.0,94.0,1.0
1.0,4603.0,697.0,1.0
1.0,900.0,281.0,1.0
1.0,2848.0,3.0,1.0
1.0,3045.0,176.0,1.0
1.0,1052.0,477.0,1.0
1.0,3095.0,206.0,1.0
1.0,3444.0,445.0,1.0
1.0,2955.0,97.0,1.0
1.0,3183.0,130.0,1.0
1.0,44.0,23.0,1.0
1.0,3024.0,79.0,1.0
1.0,319.0,245.0,1.0
1.0,3130.0,380.0,1.0
1.0,2984.0,27.0,1.0
1.0,3007.0,142.0,1.0
1.0,599.0,40.0,1.0
1.0,3138.0,405.0,1.0
1.0,3745.0,436.0,1.0
1.0,709.0,151.0,1.0
1.0,598.0,189.0,1.0
1.0,3449.0,535.0,1.0
1.0,2901.0,50.0,1.0
1.0,3130.0,193.0,1.0
1.0,3745.0,436.0,1.0
1.0,3020.0,61.0,1.0
1.0,503.0,2.0,1.0
1.0,3131.0,148.0,1.0
1.0,3108.0,122.0,1.0
1.0,1087.0,112.0,1.0
1.0,3163.0,219.0,1.0
1.0,3085.0,244.0,1.0
1.0,2919.0,10.0,1.0
1.0,3015.0,55.0,1.0
1.0,3385.0,113.0,1.0
1.0,728.0,99.0,1.0
1.0,3227.0,487.0,1.0
1.0,3230.0,201.0,1.0
1.0,4603.0,697.0,1.0
1.0,3124.0,383.0,1.0
1.0,319.0,245.0,1.0
1.0,4227.0,701.0,1.0
1.0,3423.0,509.0,1.0
1.0,2874.0,15.0,1.0
1.0,3326.0,288.0,1.0
1.0,962.0,395.0,1.0
1.0,2864.0,13.0,1.0
1.0,3429.0,343.0,1.0
1.0,2850.0,16.0,1.0
1.0,2864.0,5.0,1.0
1.0,2982.0,240.0,1.0
1.0,2866.0,12.0,1.0
1.0,126.0,18.0,1.0
1.0,3024.0,231.0,1.0
1.0,3351.0,96.0,1.0
1.0,3024.0,79.0,1.0
1.0,2889.0,45.0,1.0
1.0,562.0,8.0,1.0
1.0,2981.0,140.0,1.0
1.0,3167.0,378.0,1.0
1.0,2871.0,19.0,1.0
1.0,2850.0,6.0,1.0
1.0,5761.0,55.0,1.0
1.0,891.0,371.0,1.0
1.0,575.0,63.0,1.0
1.0,2985.0,123.0,1.0
1.0,3074.0,110.0,1.0
1.0,319.0,245.0,1.0
1.0,3565.0,264.0,1.0
1.0,3082.0,189.0,1.0
1.0,2916.0,52.0,1.0
1.0,2942.0,59.0,1.0
1.0,2854.0,16.0,1.0
1.0,3656.0,435.0,1.0
1.0,3020.0,61.0,1.0
1.0,2967.0,112.0,1.0
1.0,3157.0,417.0,1.0
1.0,564.0,248.0,1.0
1.0,4603.0,697.0,1.0
1.0,416.0,150.0,1.0
1.0,3216.0,484.0,1.0
1.0,3039.0,297.0,1.0
1.0,319.0,245.0,1.0
1.0,2976.0,107.0,1.0
1.0,3015.0,55.0,1.0
1.0,633.0,547.0,1.0
1.0,531.0,96.0,1.0
1.0,807.0,159.0,1.0
1.0,3074.0,292.0,1.0
1.0,2910.0,70.0,1.0
1.0,3093.0,315.0,1.0
1.0,3090.0,83.0,1.0
1.0,3429.0,343.0,1.0
1.0,3126.0,200.0,1.0
1.0,66.0,30.0,1.0
1.0,3785.0,931.0,1.0
1.0,859.0,327.0,1.0
1.0,546.0,2.0,1.0
1.0,52.0,10.0,1.0
1.0,4227.0,701.0,1.0
1.0,2921.0,86.0,1.0
1.0,652.0,48.0,1.0
1.0,2878.0,53.0,1.0
1.0,319.0,245.0,1.0
1.0,3024.0,79.0,1.0
1.0,3745.0,436.0,1.0
1.0,4650.0,1893.0,1.0
1.0,3358.0,106.0,1.0
1.0,3527.0,116.0,1.0
1.0,787.0,230.0,1.0
1.0,3280.0,235.0,1.0
1.0,4603.0,697.0,1.0
1.0,2874.0,25.0,1.0
1.0,559.0,65.0,1.0
1.0,832.0,246.0,1.0
1.0,3020.0,61.0,1.0
1.0,631.0,547.0,1.0
1.0,2879.0,46.0,1.0
1.0,3765.0,575.0,1.0
1.0,1218.0,429.0,1.0
1.0,557.0,10.0,1.0
1.0,2856.0,2.0,1.0
1.0,1052.0,477.0,1.0
1.0,3295.0,526.0,1.0
1.0,505.0,5.0,1.0
1.0,3420.0,568.0,1.0
1.0,319.0,245.0,1.0
1.0,3093.0,144.0,1.0
1.0,4722.0,1755.0,1.0
1.0,3015.0,55.0,1.0
1.0,2915.0,25.0,1.0
1.0,3062.0,111.0,1.0
1.0,622.0,79.0,1.0
1.0,3108.0,105.0,1.0
1.0,2903.0,38.0,1.0
1.0,3057.0,209.0,1.0
1.0,3501.0,652.0,1.0
1.0,248.0,171.0,1.0
1.0,2876.0,41.0,1.0
1.0,3429.0,343.0,1.0
1.0,2949.0,101.0,1.0
1.0,640.0,256.0,1.0
1.0,3376.0,557.0,1.0
1.0,2995.0,187.0,1.0
1.0,3201.0,138.0,1.0
1.0,2919.0,48.0,1.0
1.0,941.0,168.0,1.0
1.0,3362.0,99.0,1.0
1.0,3443.0,440.0,1.0
1.0,2894.0,43.0,1.0
1.0,932.0,316.0,1.0
1.0,4603.0,697.0,1.0
1.0,3024.0,79.0,1.0
1.0,2866.0,21.0,1.0
1.0,44.0,23.0,1.0
1.0,2855.0,10.0,1.0
1.0,2850.0,2.0,1.0
1.0,3005.0,158.0,1.0
1.0,3366.0,97.0,1.0
1.0,5773.0,69.0,1.0
1.0,1220.0,207.0,1.0
1.0,2852.0,3.0,1.0
1.0,625.0,45.0,1.0
1.0,2895.0,50.0,1.0
1.0,554.0,12.0,1.0
1.0,2935.0,43.0,1.0
1.0,821.0,150.0,1.0
1.0,718.0,142.0,1.0
1.0,3133.0,224.0,1.0
1.0,3236.0,474.0,1.0
1.0,591.0,26.0,1.0
1.0,2851.0,15.0,1.0
1.0,816.0,291.0,1.0
1.0,3020.0,61.0,1.0
1.0,3652.0,396.0,1.0
1.0,319.0,245.0,1.0
1.0,2872.0,16.0,1.0
1.0,3326.0,245.0,1.0
1.0,2864.0,14.0,1.0
1.0,2884.0,33.0,1.0
1.0,2905.0,50.0,1.0
1.0,2967.0,221.0,1.0
1.0,3095.0,209.0,1.0
1.0,763.0,131.0,1.0
1.0,2895.0,58.0,1.0
1.0,3220.0,348.0,1.0
1.0,1479.0,927.0,1.0
1.0,2866.0,12.0,1.0
1.0,669.0,55.0,1.0
1.0,3367.0,556.0,1.0
1.0,4603.0,697.0,1.0
1.0,800.0,378.0,1.0
1.0,3015.0,55.0,1.0
1.0,792.0,284.0,1.0
1.0,319.0,245.0,1.0
1.0,2876.0,16.0,1.0
1.0,2882.0,20.0,1.0
1.0,2892.0,114.0,1.0
1.0,500.0,0.0,1.0
1.0,3363.0,115.0,1.0
1.0,3136.0,220.0,1.0
1.0,2956.0,112.0,1.0
1.0,3065.0,92.0,1.0
1.0,2868.0,93.0,1.0
1.0,723.0,201.0,1.0
1.0,2851.0,4.0,1.0
1.0,2848.0,2.0,1.0
1.0,746.0,230.0,1.0
1.0,0.0,0.0,1.0
1.0,1509.0,26.0,1.0
1.0,2893.0,22.0,1.0
1.0,1629.0,0.0,1.0
1.0,2904.0,11.0,1.0
1.0,2869.0,24.0,1.0
1.0,3070.0,180.0,1.0
1.0,1275.0,787.0,1.0
1.0,2923.0,68.0,1.0
1.0,3545.0,378.0,1.0
1.0,547.0,8.0,1.0
1.0,2860.0,10.0,1.0
1.0,3726.0,451.0,1.0
1.0,2913.0,81.0,1.0
1.0,574.0,89.0,1.0
1.0,1075.0,96.0,1.0
1.0,319.0,245.0,1.0
1.0,4603.0,697.0,1.0
1.0,635.0,95.0,1.0
1.0,3397.0,164.0,1.0
1.0,560.0,3.0,1.0
1.0,29.0,47.0,1.0
1.0,2899.0,39.0,1.0
1.0,3497.0,363.0,1.0
1.0,3155.0,173.0,1.0
1.0,2938.0,57.0,1.0
1.0,2970.0,47.0,1.0
1.0,3017.0,146.0,1.0
1.0,3444.0,445.0,1.0
1.0,2887.0,33.0,1.0
1.0,2985.0,85.0,1.0
1.0,2892.0,12.0,1.0
1.0,203.0,309.0,1.0
1.0,3001.0,185.0,1.0
1.0,2922.0,43.0,1.0
1.0,319.0,245.0,1.0
1.0,569.0,10.0,1.0
1.0,3781.0,549.0,1.0
1.0,3248.0,164.0,1.0
1.0,3183.0,171.0,1.0
1.0,908.0,150.0,1.0
1.0,3093.0,225.0,1.0
1.0,812.0,363.0,1.0
1.0,3262.0,267.0,1.0
1.0,3041.0,289.0,1.0
1.0,2955.0,67.0,1.0
1.0,3380.0,490.0,1.0
1.0,1548.0,572.0,1.0
1.0,3151.0,339.0,1.0
1.0,3732.0,434.0,1.0
1.0,3445.0,528.0,1.0
1.0,806.0,156.0,1.0
1.0,4603.0,697.0,1.0
1.0,2861.0,14.0,1.0
1.0,683.0,229.0,1.0
1.0,3024.0,158.0,1.0
1.0,3023.0,184.0,1.0
1.0,797.0,347.0,1.0
1.0,3403.0,162.0,1.0
1.0,2951.0,99.0,1.0
1.0,319.0,245.0,1.0
1.0,926.0,204.0,1.0
1.0,2868.0,17.0,1.0
1.0,630.0,111.0,1.0
1.0,3351.0,156.0,1.0
1.0,4045.0,713.0,1.0
1.0,288.0,466.0,1.0
1.0,5711.0,27.0,1.0
1.0,770.0,96.0,1.0
1.0,531.0,506.0,1.0
1.0,615.0,68.0,1.0
1.0,3053.0,173.0,1.0
1.0,3074.0,87.0,1.0
1.0,3086.0,235.0,1.0
1.0,2875.0,2.0,1.0
1.0,2848.0,2.0,1.0
1.0,543.0,0.0,1.0
1.0,3335.0,180.0,1.0
1.0,2904.0,61.0,1.0
1.0,1076.0,136.0,1.0
1.0,2859.0,20.0,1.0
1.0,995.0,815.0,1.0
1.0,526.0,38.0,1.0
1.0,3003.0,108.0,1.0
1.0,319.0,245.0,1.0
1.0,3361.0,837.0,1.0
1.0,3054.0,394.0,1.0
1.0,2847.0,2.0,1.0
1.0,4227.0,701.0,1.0
1.0,3503.0,295.0,1.0
1.0,2864.0,4.0,1.0
1.0,2921.0,76.0,1.0
1.0,2944.0,67.0,1.0
1.0,867.0,155.0,1.0
1.0,929.0,207.0,1.0
1.0,3125.0,212.0,1.0
1.0,806.0,291.0,1.0
1.0,3460.0,120.0,1.0
1.0,3183.0,130.0,1.0
1.0,2917.0,70.0,1.0
1.0,2867.0,7.0,1.0
1.0,679.0,189.0,1.0
1.0,2852.0,6.0,1.0
1.0,2930.0,136.0,1.0
1.0,1087.0,98.0,1.0
1.0,1163.0,200.0,1.0
1.0,123.0,19.0,1.0
1.0,3092.0,290.0,1.0
1.0,4603.0,697.0,1.0
1.0,2859.0,3.0,1.0
1.0,3351.0,96.0,1.0
1.0,2848.0,2.0,1.0
1.0,2880.0,28.0,1.0
1.0,319.0,245.0,1.0
1.0,2935.0,134.0,1.0
1.0,633.0,89.0,1.0
1.0,2887.0,20.0,1.0
1.0,3581.0,672.0,1.0
1.0,1071.0,132.0,1.0
1.0,2860.0,12.0,1.0
1.0,2863.0,7.0,1.0
1.0,3599.0,305.0,1.0
1.0,1433.0,310.0,1.0
1.0,228.0,115.0,1.0
1.0,2931.0,110.0,1.0
1.0,2126.0,480.0,1.0
1.0,3212.0,209.0,1.0
1.0,3469.0,336.0,1.0
1.0,3090.0,264.0,1.0
1.0,508.0,5.0,1.0
1.0,687.0,308.0,1.0
1.0,3351.0,96.0,1.0
1.0,3073.0,96.0,1.0
1.0,506.0,5.0,1.0
1.0,319.0,245.0,1.0
1.0,3122.0,211.0,1.0
1.0,464.0,376.0,1.0
1.0,1367.0,287.0,1.0
1.0,514.0,12.0,1.0
1.0,3057.0,192.0,1.0
1.0,2984.0,95.0,1.0
1.0,657.0,44.0,1.0
1.0,2976.0,105.0,1.0
1.0,1052.0,733.0,1.0
1.0,2876.0,4.0,1.0
1.0,3377.0,350.0,1.0
1.0,559.0,43.0,1.0
1.0,89.0,52.0,1.0
1.0,3444.0,445.0,1.0
1.0,319.0,245.0,1.0
1.0,3221.0,390.0,1.0
1.0,94.0,72.0,1.0
1.0,1183.0,595.0,1.0
1.0,3151.0,178.0,1.0
1.0,501.0,5.0,1.0
1.0,3093.0,135.0,1.0
1.0,3203.0,286.0,1.0
1.0,500.0,1.0,1.0
1.0,2858.0,10.0,1.0
1.0,3745.0,436.0,1.0
1.0,3840.0,391.0,1.0
1.0,677.0,128.0,1.0
1.0,557.0,38.0,1.0
1.0,2982.0,17.0,1.0
1.0,319.0,245.0,1.0
1.0,3333.0,429.0,1.0
1.0,3059.0,345.0,1.0
1.0,3017.0,244.0,1.0
1.0,3351.0,96.0,1.0
1.0,4227.0,701.0,1.0
1.0,297.0,198.0,1.0
1.0,3609.0,715.0,1.0
1.0,2973.0,56.0,1.0
1.0,2921.0,56.0,1.0
1.0,391.0,270.0,1.0
1.0,3030.0,103.0,1.0
1.0,499.0,2.0,1.0
1.0,3351.0,96.0,1.0
1.0,3255.0,205.0,1.0
1.0,2848.0,2.0,1.0
1.0,790.0,341.0,1.0
1.0,2920.0,55.0,1.0
1.0,780.0,315.0,1.0
1.0,3021.0,56.0,1.0
1.0,3346.0,305.0,1.0
1.0,2886.0,47.0,1.0
1.0,2849.0,2.0,1.0
1.0,3449.0,126.0,1.0
1.0,3043.0,133.0,1.0
1.0,835.0,128.0,1.0
1.0,6114.0,211.0,1.0
1.0,2853.0,2.0,1.0
1.0,589.0,34.0,1.0
1.0,968.0,332.0,1.0
1.0,2863.0,6.0,1.0
1.0,752.0,308.0,1.0
1.0,2.0,0.0,1.0
1.0,2997.0,125.0,1.0
1.0,894.0,150.0,1.0
1.0,2915.0,9.0,1.0
1.0,3694.0,563.0,1.0
1.0,3724.0,502.0,1.0
1.0,3466.0,150.0,1.0
1.0,3204.0,230.0,1.0
1.0,203.0,309.0,1.0
1.0,3121.0,391.0,1.0
1.0,3304.0,209.0,1.0
1.0,3477.0,234.0,1.0
1.0,652.0,27.0,1.0
1.0,2872.0,7.0,1.0
1.0,3109.0,381.0,1.0
1.0,634.0,64.0,1.0
1.0,501.0,2.0,1.0
1.0,568.0,4.0,1.0
1.0,2978.0,67.0,1.0
1.0,3351.0,96.0,1.0
1.0,3700.0,428.0,1.0
1.0,1007.0,94.0,1.0
1.0,2911.0,39.0,1.0
1.0,2859.0,45.0,1.0
1.0,670.0,334.0,1.0
1.0,3374.0,121.0,1.0
1.0,104.0,0.0,1.0
1.0,2854.0,2.0,1.0
1.0,319.0,245.0,1.0
1.0,766.0,305.0,1.0
1.0,3060.0,128.0,1.0
1.0,2863.0,8.0,1.0
1.0,3101.0,285.0,1.0
1.0,631.0,158.0,1.0
1.0,218.0,241.0,1.0
1.0,3100.0,150.0,1.0
1.0,3248.0,294.0,1.0
1.0,2982.0,198.0,1.0
1.0,622.0,111.0,1.0
1.0,3103.0,301.0,1.0
1.0,2932.0,73.0,1.0
1.0,838.0,228.0,1.0
1.0,1003.0,471.0,1.0
1.0,3919.0,410.0,1.0
1.0,3486.0,111.0,1.0
1.0,3255.0,770.0,1.0
1.0,1002.0,94.0,1.0
1.0,2860.0,3.0,1.0
1.0,1303.0,302.0,1.0
1.0,319.0,245.0,1.0
1.0,1082.0,226.0,1.0
1.0,2956.0,262.0,1.0
1.0,1071.0,132.0,1.0
1.0,819.0,129.0,1.0
1.0,694.0,237.0,1.0
1.0,3002.0,127.0,1.0
1.0,3082.0,42.0,1.0
1.0,2901.0,41.0,1.0
1.0,3.0,7.0,1.0
1.0,3523.0,196.0,1.0
1.0,546.0,0.0,1.0
1.0,2913.0,87.0,1.0
1.0,3267.0,401.0,1.0
1.0,4123.0,599.0,1.0
1.0,3138.0,190.0,1.0
1.0,3141.0,33.0,1.0
1.0,373.0,172.0,1.0
1.0,957.0,221.0,1.0
1.0,2913.0,41.0,1.0
1.0,3507.0,153.0,1.0
1.0,545.0,0.0,1.0
1.0,3770.0,565.0,1.0
1.0,548.0,5.0,1.0
1.0,2943.0,134.0,1.0
1.0,3166.0,247.0,1.0
1.0,2873.0,6.0,1.0
1.0,701.0,154.0,1.0
1.0,1048.0,270.0,1.0
1.0,4227.0,701.0,1.0
1.0,2901.0,7.0,1.0
1.0,52.0,10.0,1.0
1.0,3045.0,53.0,1.0
1.0,319.0,245.0,1.0
1.0,576.0,21.0,1.0
1.0,2943.0,25.0,1.0
1.0,3491.0,504.0,1.0
1.0,964.0,87.0,1.0
1.0,131.0,20.0,1.0
1.0,160.0,28.0,1.0
1.0,3113.0,77.0,1.0
1.0,3274.0,514.0,1.0
1.0,1590.0,598.0,1.0
1.0,2924.0,30.0,1.0
1.0,2877.0,30.0,1.0
1.0,3298.0,238.0,1.0
1.0,3290.0,341.0,1.0
1.0,3399.0,141.0,1.0
1.0,3384.0,121.0,1.0
1.0,3333.0,388.0,1.0
1.0,3319.0,508.0,1.0
1.0,2849.0,3.0,1.0
1.0,543.0,0.0,1.0
1.0,3114.0,156.0,1.0
1.0,319.0,245.0,1.0
1.0,3068.0,118.0,1.0
1.0,2870.0,26.0,1.0
1.0,3766.0,645.0,1.0
1.0,3240.0,345.0,1.0
1.0,542.0,28.0,1.0
1.0,2981.0,119.0,1.0
1.0,3043.0,230.0,1.0
1.0,3026.0,59.0,1.0
1.0,3088.0,221.0,1.0
1.0,597.0,52.0,1.0
1.0,995.0,815.0,1.0
1.0,2941.0,55.0,1.0
1.0,3702.0,249.0,1.0
1.0,2917.0,19.0,1.0
1.0,3385.0,630.0,1.0
1.0,3335.0,484.0,1.0
1.0,153.0,81.0,1.0
1.0,3106.0,260.0,1.0
1.0,1218.0,933.0,1.0
1.0,679.0,124.0,1.0
1.0,3351.0,96.0,1.0
1.0,564.0,22.0,1.0
1.0,561.0,83.0,1.0
1.0,2848.0,3.0,1.0
1.0,6563.0,428.0,1.0
1.0,668.0,165.0,1.0
1.0,3745.0,436.0,1.0
1.0,2848.0,4.0,1.0
1.0,319.0,245.0,1.0
1.0,3205.0,342.0,1.0
1.0,3620.0,331.0,1.0
1.0,3034.0,116.0,1.0
1.0,3569.0,387.0,1.0
1.0,667.0,83.0,1.0
1.0,2935.0,145.0,1.0
1.0,575.0,279.0,1.0
1.0,1162.0,24.0,1.0
1.0,2889.0,41.0,1.0
1.0,3133.0,33.0,1.0
1.0,319.0,245.0,1.0
1.0,3213.0,372.0,1.0
1.0,2954.0,94.0,1.0
1.0,854.0,338.0,1.0
1.0,3216.0,172.0,1.0
1.0,908.0,405.0,1.0
1.0,2184.0,9.0,1.0
1.0,2864.0,18.0,1.0
1.0,4603.0,697.0,1.0
1.0,3098.0,294.0,1.0
1.0,740.0,199.0,1.0
1.0,501.0,1.0,1.0
1.0,535.0,477.0,1.0
1.0,2884.0,28.0,1.0
1.0,535.0,8.0,1.0
1.0,2938.0,138.0,1.0
1.0,613.0,98.0,1.0
1.0,545.0,0.0,1.0
1.0,805.0,292.0,1.0
1.0,319.0,245.0,1.0
1.0,2881.0,70.0,1.0
1.0,2877.0,27.0,1.0
1.0,554.0,7.0,1.0
1.0,3023.0,190.0,1.0
1.0,1406.0,366.0,1.0
1.0,551.0,4.0,1.0
1.0,2895.0,50.0,1.0
1.0,3451.0,676.0,1.0
1.0,1059.0,113.0,1.0
1.0,3384.0,138.0,1.0
1.0,481.0,830.0,1.0
1.0,3351.0,392.0,1.0
1.0,3884.0,620.0,1.0
1.0,2863.0,17.0,1.0
1.0,3135.0,94.0,1.0
1.0,2868.0,5.0,1.0
1.0,120.0,181.0,1.0
1.0,895.0,268.0,1.0
1.0,2964.0,173.0,1.0
1.0,3025.0,131.0,1.0
1.0,994.0,395.0,1.0
1.0,8685.0,267.0,1.0
1.0,3405.0,142.0,1.0
1.0,619.0,208.0,1.0
1.0,3010.0,79.0,1.0
1.0,319.0,245.0,1.0
1.0,2888.0,20.0,1.0
1.0,3457.0,301.0,1.0
1.0,2896.0,33.0,1.0
1.0,3013.0,147.0,1.0
1.0,549.0,38.0,1.0
1.0,543.0,47.0,1.0
1.0,3066.0,175.0,1.0
1.0,2941.0,64.0,1.0
1.0,2892.0,12.0,1.0
1.0,608.0,73.0,1.0
1.0,1170.0,285.0,1.0
1.0,3451.0,219.0,1.0
1.0,550.0,5.0,1.0
1.0,3748.0,412.0,1.0
1.0,685.0,164.0,1.0
1.0,3320.0,588.0,1.0
1.0,2936.0,100.0,1.0
1.0,705.0,87.0,1.0
1.0,2916.0,23.0,1.0
1.0,4603.0,697.0,1.0
1.0,3248.0,490.0,1.0
1.0,5852.0,36.0,1.0
1.0,1036.0,244.0,1.0
1.0,9114.0,147.0,1.0
1.0,2913.0,65.0,1.0
1.0,3287.0,362.0,1.0
1.0,504.0,94.0,1.0
1.0,922.0,408.0,1.0
1.0,2883.0,8.0,1.0
1.0,319.0,245.0,1.0
1.0,2919.0,61.0,1.0
1.0,2912.0,55.0,1.0
1.0,9624.0,796.0,1.0
1.0,3439.0,235.0,1.0
1.0,1376.0,234.0,1.0
1.0,2895.0,50.0,1.0
1.0,3142.0,144.0,1.0
1.0,2903.0,92.0,1.0
1.0,551.0,5.0,1.0
1.0,3204.0,183.0,1.0
1.0,499.0,1.0,1.0
1.0,748.0,237.0,1.0
1.0,3351.0,96.0,1.0
1.0,3782.0,589.0,1.0
1.0,3188.0,132.0,1.0
1.0,827.0,303.0,1.0
1.0,879.0,128.0,1.0
1.0,2869.0,29.0,1.0
1.0,2982.0,111.0,1.0
1.0,837.0,139.0,1.0
1.0,552.0,5.0,1.0
1.0,3200.0,232.0,1.0
1.0,2944.0,81.0,1.0
1.0,1185.0,473.0,1.0
1.0,5697.0,17.0,1.0
1.0,2932.0,89.0,1.0
1.0,6012.0,336.0,1.0
1.0,3239.0,335.0,1.0
1.0,4227.0,701.0,1.0
1.0,3745.0,436.0,1.0
1.0,3208.0,232.0,1.0
1.0,319.0,245.0,1.0
1.0,441.0,438.0,1.0
1.0,1296.0,682.0,1.0
1.0,637.0,154.0,1.0
1.0,3130.0,126.0,1.0
1.0,2984.0,95.0,1.0
1.0,2898.0,25.0,1.0
1.0,2982.0,17.0,1.0
1.0,6985.0,381.0,1.0
1.0,3066.0,37.0,1.0
1.0,798.0,231.0,1.0
1.0,2870.0,15.0,1.0
1.0,13.0,1.0,1.0
1.0,15.0,23.0,1.0
1.0,1341.0,525.0,1.0
1.0,625.0,163.0,1.0
1.0,911.0,207.0,1.0
1.0,2987.0,265.0,1.0
1.0,1189.0,412.0,1.0
1.0,3619.0,419.0,1.0
1.0,1510.0,338.0,1.0
1.0,3296.0,252.0,1.0
1.0,2943.0,83.0,1.0
1.0,2901.0,7.0,1.0
1.0,3251.0,344.0,1.0
1.0,3191.0,134.0,1.0
1.0,2858.0,13.0,1.0
1.0,2939.0,90.0,1.0
1.0,3057.0,219.0,1.0
1.0,3215.0,370.0,1.0
1.0,9083.0,608.0,1.0
1.0,3728.0,232.0,1.0
1.0,319.0,245.0,1.0
1.0,2849.0,2.0,1.0
1.0,3254.0,401.0,1.0
1.0,3617.0,390.0,1.0
1.0,2860.0,17.0,1.0
1.0,3306.0,513.0,1.0
1.0,3097.0,240.0,1.0
1.0,2848.0,2.0,1.0
1.0,2876.0,26.0,1.0
1.0,3771.0,767.0,1.0
1.0,528.0,429.0,1.0
1.0,848.0,268.0,1.0
1.0,319.0,245.0,1.0
1.0,780.0,237.0,1.0
1.0,2865.0,3.0,1.0
1.0,204.0,125.0,1.0
1.0,3130.0,236.0,1.0
1.0,795.0,288.0,1.0
1.0,871.0,231.0,1.0
1.0,3093.0,493.0,1.0
1.0,3335.0,567.0,1.0
1.0,516.0,9.0,1.0
1.0,2960.0,141.0,1.0
1.0,3709.0,375.0,1.0
1.0,2851.0,8.0,1.0
1.0,1002.0,94.0,1.0
1.0,686.0,34.0,1.0
1.0,746.0,176.0,1.0
1.0,3038.0,85.0,1.0
1.0,43.0,1.0,1.0
1.0,4227.0,701.0,1.0
1.0,3035.0,237.0,1.0
1.0,3415.0,193.0,1.0
1.0,13.0,1.0,1.0
1.0,2865.0,32.0,1.0
1.0,2914.0,94.0,1.0
1.0,2995.0,143.0,1.0
1.0,319.0,245.0,1.0
1.0,3332.0,170.0,1.0
1.0,576.0,37.0,1.0
1.0,2961.0,64.0,1.0
1.0,729.0,220.0,1.0
1.0,2985.0,237.0,1.0
1.0,2870.0,26.0,1.0
1.0,2873.0,2.0,1.0
1.0,3380.0,592.0,1.0
1.0,712.0,161.0,1.0
1.0,689.0,235.0,1.0
1.0,2977.0,214.0,1.0
1.0,3431.0,684.0,1.0
1.0,3689.0,430.0,1.0
1.0,3360.0,111.0,1.0
1.0,3160.0,210.0,1.0
1.0,624.0,98.0,1.0
1.0,2868.0,21.0,1.0
1.0,3387.0,127.0,1.0
1.0,3694.0,203.0,1.0
1.0,319.0,245.0,1.0
1.0,2862.0,4.0,1.0
1.0,3972.0,544.0,1.0
1.0,3187.0,233.0,1.0
1.0,436.0,321.0,1.0
1.0,2888.0,29.0,1.0
1.0,2994.0,38.0,1.0
1.0,5799.0,183.0,1.0
1.0,535.0,25.0,1.0
1.0,2953.0,98.0,1.0
1.0,3106.0,239.0,1.0
1.0,533.0,5.0,1.0
1.0,2848.0,2.0,1.0
